ReviewID,ReviewTime,Rating,Likes,Dislikes,IsLong,USER_UserID,MOVIE_MovieID
10001,"2012-05-24 14:58:20",0,0,0,0,115,12
10002,"2013-04-27 14:00:43",0,0,0,0,106,18
10003,"2013-01-23 21:01:59",0,0,0,0,117,18
10004,"2012-06-13 05:33:02",0,0,0,0,128,98
10005,"2013-02-15 06:28:29",0,0,0,0,114,120
10006,"2012-10-14 03:51:32",0,0,0,0,105,121
10007,"2012-04-17 11:10:38",0,0,0,0,143,122
10008,"2013-03-17 09:42:14",0,0,0,0,124,197
10009,"2013-04-27 16:22:03",0,0,0,0,136,534
10010,"2012-10-22 05:38:14",0,0,0,0,119,534
10011,"2012-07-03 17:25:23",0,0,0,0,99,603
10012,"2012-06-11 09:20:48",0,0,0,0,130,603
10013,"2012-04-26 06:47:34",0,0,0,0,108,755
10014,"2012-12-05 06:18:24",0,0,0,0,115,1771
10015,"2013-01-19 06:09:19",0,0,0,0,103,1865
10016,"2013-05-20 00:59:05",0,0,0,0,116,1893
10017,"2013-04-01 16:23:34",0,0,0,0,119,1894
10018,"2013-02-10 09:45:25",0,0,0,0,101,1895
10019,"2013-05-12 11:19:08",0,0,0,0,147,1930
10020,"2013-01-27 21:23:01",0,0,0,0,151,2789
10021,"2012-10-17 06:09:51",0,0,0,0,113,8681
10022,"2013-03-09 14:31:34",0,0,0,0,122,8681
10023,"2013-03-03 03:45:01",0,0,0,0,99,8698
10024,"2012-09-18 12:36:48",0,0,0,0,105,10196
10025,"2012-12-12 09:11:58",0,0,0,0,133,14161
10026,"2013-06-21 16:26:58",0,0,0,0,135,20526
10027,"2012-11-02 04:14:50",0,0,0,0,118,24428
10028,"2012-06-02 22:47:16",0,0,0,0,139,35791
10029,"2012-06-29 20:31:02",0,0,0,0,105,37724
10030,"2012-12-06 12:12:12",0,0,0,0,142,37724
10031,"2012-04-02 14:21:05",0,0,0,0,118,38356
10032,"2012-10-08 15:33:32",0,0,0,0,106,49013
10033,"2012-09-03 09:33:44",0,0,0,0,105,49026
10034,"2012-07-23 09:38:23",0,0,0,0,103,49026
10035,"2012-12-11 21:50:10",0,0,0,0,113,49026
10036,"2013-03-21 23:25:10",0,0,0,0,106,49040
10037,"2013-06-05 20:43:45",0,0,0,0,115,49047
10038,"2012-03-29 11:53:40",0,0,0,0,114,49051
10039,"2012-08-26 01:32:31",0,0,0,0,112,49051
10040,"2012-09-04 13:14:29",0,0,0,0,137,49051
10041,"2012-04-16 03:30:16",0,0,0,0,116,49521
10042,"2013-06-13 17:44:20",0,0,0,0,132,49529
10043,"2012-04-20 15:57:16",0,0,0,0,103,49538
10044,"2012-06-30 06:51:43",0,0,0,0,125,49538
10045,"2012-11-17 16:30:27",0,0,0,0,115,50619
10046,"2012-10-28 17:23:18",0,0,0,0,94,57158
10047,"2013-05-21 07:44:05",0,0,0,0,129,59967
10048,"2013-04-17 13:47:48",0,0,0,0,143,59967
10049,"2012-07-25 06:29:32",0,0,0,0,147,59967
10050,"2012-05-13 09:31:28",0,0,0,0,150,62177
10051,"2013-01-29 14:51:14",0,0,0,0,121,64635
10052,"2013-02-15 18:46:35",0,0,0,0,109,64682
10053,"2012-08-06 21:11:31",0,0,0,0,139,64682
10054,"2012-09-02 03:02:51",0,0,0,0,107,68718
10055,"2012-10-27 18:11:48",0,0,0,0,149,68724
10056,"2012-12-24 11:06:58",0,0,0,0,148,68724
10057,"2013-05-12 06:45:36",0,0,0,0,151,68726
10058,"2013-06-08 00:45:01",0,0,0,0,96,68726
10059,"2013-02-03 09:23:12",0,0,0,0,111,68726
10060,"2012-12-23 16:43:30",0,0,0,0,126,68728
10061,"2012-04-26 02:41:02",0,0,0,0,151,68734
10062,"2013-02-18 18:59:26",0,0,0,0,122,68734
10063,"2012-04-16 07:04:13",0,0,0,0,111,70160
10064,"2012-05-04 22:48:00",0,0,0,0,132,70160
10065,"2012-07-03 22:55:11",0,0,0,0,137,70981
10066,"2013-01-13 14:57:45",0,0,0,0,98,71679
10067,"2013-06-02 19:24:15",0,0,0,0,111,75612
10068,"2012-05-04 03:29:50",0,0,0,0,113,75612
10069,"2013-03-31 06:36:47",0,0,0,0,151,75612
10070,"2013-01-27 15:01:33",0,0,0,0,113,75656
10071,"2013-03-09 16:16:23",0,0,0,0,115,75656
10072,"2013-05-27 22:49:39",0,0,0,0,139,75656
10073,"2012-09-16 05:03:29",0,0,0,0,142,76163
10074,"2013-02-20 14:23:57",0,0,0,0,95,76170
10075,"2012-08-19 09:52:51",0,0,0,0,102,76170
10076,"2012-07-03 15:13:54",0,0,0,0,123,76338
10077,"2012-09-12 11:34:17",0,0,0,0,144,76640
10078,"2012-05-28 15:36:29",0,0,0,0,135,77338
10079,"2012-07-10 01:25:03",0,0,0,0,150,81005
10080,"2013-02-09 01:33:26",0,0,0,0,132,82675
10081,"2013-05-06 00:18:10",0,0,0,0,101,82675
10082,"2013-02-25 12:54:14",0,0,0,0,102,82684
10083,"2013-05-06 07:42:44",0,0,0,0,97,82690
10084,"2013-02-13 10:40:48",0,0,0,0,109,82992
10085,"2012-07-21 02:29:08",0,0,0,0,133,82992
10086,"2012-11-04 04:22:42",0,0,0,0,124,82992
10087,"2013-01-22 05:53:51",0,0,0,0,105,83542
10088,"2012-10-13 12:37:53",0,0,0,0,138,83542
10089,"2012-04-30 11:09:43",0,0,0,0,120,87421
10090,"2013-05-16 02:32:27",0,0,0,0,120,87421
10091,"2013-06-03 01:06:53",0,0,0,0,146,93456
10092,"2012-04-09 23:33:13",0,0,0,0,145,96721
10093,"2012-10-07 00:53:39",0,0,0,0,93,97630
10094,"2013-05-20 19:34:46",0,0,0,0,135,101299
10095,"2012-08-18 22:38:03",0,0,0,0,146,101299
10096,"2012-11-16 01:48:20",0,0,0,0,107,106646
10097,"2012-10-07 17:07:36",0,0,0,0,123,106646
10098,"2012-08-23 14:54:26",0,0,0,0,116,114150
10099,"2012-03-21 14:49:20",0,0,0,0,136,116741
10100,"2013-05-09 07:41:28",0,0,0,0,131,116745
10101,"2013-05-07 00:07:50",0,0,0,0,111,116745
10102,"2012-03-19 17:43:19",0,0,0,0,98,117263
10103,"2012-06-24 05:26:57",0,0,0,0,127,122906
10104,"2012-11-18 15:19:14",0,0,0,0,124,123553
10105,"2012-03-19 21:45:07",0,0,0,0,103,133805
10106,"2012-07-21 01:05:07",0,0,0,0,109,134374
10107,"2013-01-26 06:29:07",0,0,0,0,118,136795
10108,"2013-03-22 20:15:23",0,0,0,0,129,136795
10109,"2013-04-21 05:23:29",0,0,0,0,141,146216
10110,"2012-11-22 06:58:22",0,0,0,0,127,146238
10111,"2012-05-22 19:43:47",0,0,0,0,96,168672
10112,"2012-05-07 20:34:14",0,0,0,0,130,225747
10113,"2012-04-28 04:54:37",0,0,0,1,132,152
10114,"2012-07-12 05:00:16",0,0,0,1,119,242
10115,"2012-04-21 05:10:06",0,0,0,1,135,89
10116,"2012-04-18 23:39:19",0,0,0,1,129,163
10117,"2012-09-07 15:49:18",0,0,0,1,107,98
10118,"2013-02-04 22:03:09",0,0,0,1,110,98
10119,"2012-06-04 06:12:52",0,0,0,1,107,163
10120,"2013-05-15 18:17:23",0,0,0,1,151,129
10121,"2012-07-01 17:46:04",0,0,0,1,105,121
10122,"2012-06-12 02:13:06",0,0,0,1,102,58
10123,"2013-02-03 03:17:08",0,0,0,1,96,152
10124,"2012-04-09 16:14:52",0,0,0,1,105,240
10125,"2012-06-11 05:32:58",0,0,0,1,118,242
10126,"2012-06-18 01:33:48",0,0,0,1,146,277
10127,"2013-01-14 07:25:13",0,0,0,1,131,120
10128,"2013-06-07 12:01:22",0,0,0,1,138,218
10129,"2012-07-02 10:16:02",0,0,0,1,132,129
10130,"2013-02-22 21:30:39",0,0,0,1,121,240
10131,"2012-12-03 19:55:22",0,0,0,1,126,348
10132,"2013-03-21 15:13:15",0,0,0,1,94,197
10133,"2013-05-01 01:07:08",0,0,0,1,134,272
10134,"2013-03-03 09:38:00",0,0,0,1,93,242
10135,"2013-02-27 12:37:33",0,0,0,1,129,238
10136,"2013-01-08 08:48:35",0,0,0,1,111,82
10137,"2012-06-02 21:13:30",0,0,0,1,108,154
10138,"2013-03-19 12:06:33",0,0,0,1,137,98
10139,"2012-06-11 10:55:36",0,0,0,1,124,163
10140,"2012-08-01 20:58:03",0,0,0,1,123,115
10141,"2013-02-25 20:27:54",0,0,0,1,126,98
10142,"2013-01-13 22:23:11",0,0,0,1,124,425
